"Region"	"fylkenr"	"idnr"	"densMoose16"	"densRed16"	"densRoe16"	"densreinhunters"	"densmoosehunters"	"densredhunters"	"densroehunters"	"densHuman17"	"kdensrein17"	"reinhunters17"	"moosehunters17"	"redhunters17"	"roehunters"	"humans2017"	"totareal"
"East"	"5"	403	0.381311963	0.018753047	0.687611737	0.400964677	6.415434839	2.606270403	6.014470161	52.84313484	0	10	160	65	150	13179	249.4
"West"	"16"	404	0.324893913	0.360993237	0.063173816	0	3.017944535	3.017944535	1.957585644	6.460032626	0	0	185	185	120	3960	613
"West"	"16"	405	0.177065767	0.207419899	0.075885329	0.26371308	2.056962025	1.898734177	0.843881857	2.696202532	0.149940793	25	195	180	80	2556	948
"West"	"16"	406	0.389321468	0.10635599	0.068302012	0.752283718	2.391187534	1.961311123	0.994089199	3.395486298	0.205731394	140	445	365	185	6319	1861
"North"	"17"	407	0.72979798	0.075757576	1.212121212	0.077399381	6.888544892	2.86377709	5.417956656	30.79256966	0	5	445	185	350	19892	646
"North"	"17"	408	0.263824398	0	6.331785564	0	2.272727273	0.909090909	2.272727273	5.309090909	0	0	25	10	25	584	110
"East"	"1"	409	0.358371041	0	0.79638009	0	4.384920464	0.626417209	3.44529465	4.378656292	0	0	140	20	110	1398	319.28
"East"	"4"	410	0.388037537	0.012585001	0.20975002	0.295201541	4.821625168	1.377607191	2.066410786	10.03685239	0	15	245	70	105	5100	508.13
"North"	"17"	411	0.307695362	0	0.231598659	0	0.735294118	0.091911765	0.459558824	1.154411765	0	0	40	5	25	628	544
"North"	"18"	412	0.422275596	0	0.26811149	0	2.209173857	0.096051037	1.536816596	7.641820524	0	0	230	10	160	7956	1041.11
"North"	"18"	413	0.214921407	0	5.666109825	0	2.449361727	0	2.449361727	7.556280928	0	0	40	0	40	1234	163.31
"North"	"18"	414	0.433275563	0	0	0.189018774	0.567056323	0	0.189018774	7.258320928	0	5	15	0	5	1920	264.52
"North"	"18"	415	0.153586056	0.007143537	0	0	0.522400022	0.024876192	0.049752383	0.730862507	0	0	105	5	10	1469	2009.95
"North"	"18"	416	0	0	0	0	0.944960556	0	0.236240139	26.68096129	0	0	40	0	10	11294	423.3
"North"	"19"	417	0.415969306	0	0	0	1.732450013	0	0	3.94305623	0	0	50	0	0	1138	288.61
"North"	"19"	418	0.356346875	0	0	0	2.689070204	0.056022296	0.112044592	13.10585591	0	0	240	5	10	11697	892.5
"North"	"20"	419	0.007854631	0	0	0	0.231781305	0	0	0.302654878	0	0	225	0	0	2938	9707.43
"North"	"19"	420	0.098398933	0	0	0	0.407371676	0	0	1.431329481	0	0	140	0	0	4919	3436.67
"North"	"20"	421	0	0	0	0	0.044075909	0	0	1.061347899	0	0	5	0	0	1204	1134.41
"North"	"20"	422	0.03125	0	0	0	0.028919816	0	0	0.384633555	0	0	10	0	0	1330	3457.84
"North"	"20"	423	0.032142857	0	0	0	1.033391412	0	0	4.891915963	0	0	130	0	0	6154	1257.99
"North"	"17"	424	0.678460627	0.025482089	0.955578348	0.136612022	6.284153005	2.18579235	5.737704918	18.57923497	0	5	230	80	210	6800	366
