"Region"	"County"	"year"	"R_redhunters"	"R_moosehunters"	"R_redharvest.West_tl1"	"R_redharvest.Region_tl1"
"West"	15	2011	61	60	1155	1155
"West"	15	2012	14	25	-2213	-2213
"West"	15	2013	-73	8	-2034	-2034
"West"	15	2014	17	18	1076	1076
"West"	15	2015	106	11	-1125	-1125
"West"	15	2016	116	13	-1572	-1572
"West"	15	2017	89	-15	3589	3589
"West"	16	2003	150	110	745	745
"West"	16	2004	0	50	594	594
"West"	16	2005	140	-30	501	501
"West"	16	2006	120	30	1601	1601
"West"	16	2007	150	70	1302	1302
"West"	16	2008	340	137	3221	3221
"West"	16	2009	251	187	2775	2775
"West"	16	2010	100	82	1819	1819
"West"	16	2011	84	50	1155	1155
"West"	16	2012	9	-33	-2213	-2213
"West"	16	2013	70	-20	-2034	-2034
"West"	16	2014	113	53	1076	1076
"West"	16	2015	42	118	-1125	-1125
"West"	16	2016	72	102	-1572	-1572
"West"	16	2017	135	10	3589	3589
"South"	7	2003	20	70	745	42
"South"	7	2004	70	-40	594	53
"South"	7	2005	100	40	501	75
"South"	7	2006	60	-10	1601	48
"South"	7	2007	90	10	1302	91
"South"	7	2008	89	10	3221	126
"South"	7	2009	106	44	2775	170
"South"	7	2010	60	18	1819	99
"South"	7	2011	98	-22	1155	120
"South"	7	2012	30	19	-2213	-20
"South"	7	2013	64	30	-2034	140
"South"	7	2014	20	-27	1076	-38
"South"	7	2015	26	-10	-1125	1
"South"	7	2016	56	-46	-1572	129
"South"	7	2017	43	35	3589	128
"South"	8	2003	150	160	745	42
"South"	8	2004	200	-130	594	53
"South"	8	2005	280	-110	501	75
"South"	8	2006	180	-10	1601	48
"South"	8	2007	250	-120	1302	91
"South"	8	2008	349	-15	3221	126
"South"	8	2009	177	108	2775	170
"South"	8	2010	117	-35	1819	99
"South"	8	2011	185	95	1155	120
"South"	8	2012	87	-18	-2213	-20
"South"	8	2013	85	-75	-2034	140
"South"	8	2014	18	-140	1076	-38
"South"	8	2015	117	25	-1125	1
"South"	8	2016	55	-75	-1572	129
"South"	8	2017	-10	-105	3589	128
"South"	9	2003	60	40	745	42
"South"	9	2004	90	20	594	53
"South"	9	2005	190	-80	501	75
"South"	9	2006	90	-50	1601	48
"South"	9	2007	150	-50	1302	91
"South"	9	2008	277	20	3221	126
"South"	9	2009	217	14	2775	170
"South"	9	2010	100	48	1819	99
"South"	9	2011	128	2	1155	120
"South"	9	2012	134	41	-2213	-20
"South"	9	2013	-39	-87	-2034	140
"South"	9	2014	90	-148	1076	-38
"South"	9	2015	59	-12	-1125	1
"South"	9	2016	26	-18	-1572	129
